CMDLINE C:\Users\h_suzuki\anaconda3\envs\defoenv\python.exe main.py
MEM 1.742188 1642403880.2215
MEM 18.664062 1642403880.3234
MEM 29.332031 1642403880.4332
MEM 38.871094 1642403880.5441
MEM 40.796875 1642403880.6552
MEM 41.144531 1642403880.7650
MEM 41.488281 1642403880.8743
MEM 41.640625 1642403880.9863
MEM 41.804688 1642403881.0983
MEM 41.921875 1642403881.2093
MEM 42.433594 1642403881.3203
MEM 42.640625 1642403881.4303
MEM 42.765625 1642403881.5424
MEM 42.890625 1642403881.6544
MEM 43.015625 1642403881.7664
MEM 43.203125 1642403881.8784
MEM 43.296875 1642403881.9904
MEM 43.453125 1642403882.1004
MEM 43.574219 1642403882.2115
MEM 43.765625 1642403882.3223
MEM 43.855469 1642403882.4325
MEM 44.566406 1642403882.5445
MEM 44.726562 1642403882.6565
MEM 44.347656 1642403882.7646
MEM 44.558594 1642403882.8756
MEM 45.402344 1642403882.9876
MEM 45.582031 1642403883.0996
