CMDLINE C:\Users\h_suzuki\anaconda3\envs\defoenv\python.exe main.py
MEM 1.582031 1642403484.6562
MEM 19.023438 1642403484.7614
MEM 29.449219 1642403484.8714
MEM 38.980469 1642403484.9834
MEM 40.863281 1642403485.0932
MEM 41.203125 1642403485.2052
MEM 41.484375 1642403485.3052
MEM 41.621094 1642403485.4132
MEM 41.800781 1642403485.5242
MEM 42.046875 1642403485.6343
MEM 42.406250 1642403485.7462
MEM 42.531250 1642403485.8572
MEM 42.718750 1642403485.9692
MEM 42.843750 1642403486.0812
MEM 42.968750 1642403486.1922
MEM 43.093750 1642403486.3032
MEM 43.222656 1642403486.4152
MEM 43.406250 1642403486.5262
MEM 43.500000 1642403486.6344
MEM 44.136719 1642403486.7464
MEM 44.292969 1642403486.8574
MEM 44.035156 1642403486.9694
MEM 44.191406 1642403487.0805
MEM 44.972656 1642403487.1925
MEM 45.132812 1642403487.3031
MEM 45.285156 1642403487.4141
MEM 45.589844 1642403487.5261
MEM 41.933594 1642403487.6362
